form	lemma	POS	voice	tense	mood	number	person	gender	case	state	possessive-number	possessive-person	possessive-gender
أبعاد	بعد	noun	n/a	n/a	n/a	plural	n/a	feminine	genitive	construct	n/a	n/a	n/a
أبعاد	بعد	noun	n/a	n/a	n/a	plural	n/a	feminine	genitive	indefinite	n/a	n/a	n/a
أبعاد	بعد	noun	n/a	n/a	n/a	plural	n/a	feminine	nominative	construct	n/a	n/a	n/a
أبعاد	بعد	noun	n/a	n/a	n/a	plural	n/a	feminine	nominative	indefinite	n/a	n/a	n/a
أبعد	بعد	noun	n/a	n/a	n/a	singular	n/a	masculine	nominative	construct	n/a	n/a	n/a
أبعد	بعد	noun	n/a	n/a	n/a	singular	n/a	masculine	nominative	indefinite	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	indicative	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	indicative	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	indicative	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	indicative	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	jussive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	jussive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	jussive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	jussive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	subjunctive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	subjunctive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	subjunctive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	non-past	subjunctive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	past	n/a	singular	3	masculine	n/a	n/a	n/a	n/a	n/a
أبعد	بعد	verb	active	past	n/a	singular	3	masculine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	indicative	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	indicative	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	indicative	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	indicative	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	jussive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	jussive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	jussive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	jussive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	subjunctive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	subjunctive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	subjunctive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبقى	بقي	verb	active	non-past	subjunctive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبل	بل	noun	n/a	n/a	n/a	singular	n/a	masculine	nominative	construct	n/a	n/a	n/a
أبل	بل	noun	n/a	n/a	n/a	singular	n/a	masculine	nominative	indefinite	n/a	n/a	n/a
أبل	بل	verb	active	non-past	indicative	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	indicative	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	indicative	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	indicative	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	jussive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	jussive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	jussive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	jussive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	subjunctive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	subjunctive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
أبل	بل	verb	active	non-past	subjunctive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
